ResourceSpeciesID,ConsumerSpeciesID,Type,System
97,165,Feeding,BSQ
98,165,Feeding,BSQ
101,165,Feeding,BSQ
105,165,Feeding,BSQ
107,165,Feeding,BSQ
114,165,Feeding,BSQ
118,165,Feeding,BSQ
119,165,Feeding,BSQ
121,165,Feeding,BSQ
122,165,Feeding,BSQ
125,165,Feeding,BSQ
136,165,Feeding,BSQ
138,165,Feeding,BSQ
118,166,Feeding,BSQ
119,166,Feeding,BSQ
121,166,Feeding,BSQ
136,166,Feeding,BSQ
138,166,Feeding,BSQ
118,167,Feeding,BSQ
119,167,Feeding,BSQ
121,167,Feeding,BSQ
136,167,Feeding,BSQ
138,167,Feeding,BSQ
118,168,Feeding,BSQ
119,168,Feeding,BSQ
121,168,Feeding,BSQ
122,168,Feeding,BSQ
125,168,Feeding,BSQ
128,168,Feeding,BSQ
136,168,Feeding,BSQ
138,168,Feeding,BSQ
118,169,Feeding,BSQ
119,169,Feeding,BSQ
121,169,Feeding,BSQ
122,169,Feeding,BSQ
125,169,Feeding,BSQ
128,169,Feeding,BSQ
136,169,Feeding,BSQ
138,169,Feeding,BSQ
77,171,Feeding,BSQ
107,171,Feeding,BSQ
109,171,Feeding,BSQ
114,171,Feeding,BSQ
24,172,Feeding,BSQ
25,172,Feeding,BSQ
26,172,Feeding,BSQ
29,172,Feeding,BSQ
34,172,Feeding,BSQ
35,172,Feeding,BSQ
36,172,Feeding,BSQ
37,172,Feeding,BSQ
38,172,Feeding,BSQ
39,172,Feeding,BSQ
40,172,Feeding,BSQ
41,172,Feeding,BSQ
42,172,Feeding,BSQ
43,172,Feeding,BSQ
45,172,Feeding,BSQ
53,172,Feeding,BSQ
77,172,Feeding,BSQ
79,172,Feeding,BSQ
94,172,Feeding,BSQ
86,172,Feeding,BSQ
90,172,Feeding,BSQ
119,172,Feeding,BSQ
136,172,Feeding,BSQ
138,172,Feeding,BSQ
111,175,Feeding,BSQ
114,175,Feeding,BSQ
119,175,Feeding,BSQ
136,175,Feeding,BSQ
138,175,Feeding,BSQ
211,175,Feeding,BSQ
24,176,Feeding,BSQ
25,176,Feeding,BSQ
26,176,Feeding,BSQ
29,176,Feeding,BSQ
34,176,Feeding,BSQ
35,176,Feeding,BSQ
36,176,Feeding,BSQ
37,176,Feeding,BSQ
38,176,Feeding,BSQ
39,176,Feeding,BSQ
40,176,Feeding,BSQ
41,176,Feeding,BSQ
42,176,Feeding,BSQ
43,176,Feeding,BSQ
45,176,Feeding,BSQ
53,176,Feeding,BSQ
75,176,Feeding,BSQ
76,176,Feeding,BSQ
77,176,Feeding,BSQ
79,176,Feeding,BSQ
82,176,Feeding,BSQ
89,176,Feeding,BSQ
91,176,Feeding,BSQ
96,176,Feeding,BSQ
97,176,Feeding,BSQ
98,176,Feeding,BSQ
101,176,Feeding,BSQ
103,176,Feeding,BSQ
105,176,Feeding,BSQ
107,176,Feeding,BSQ
108,176,Feeding,BSQ
94,176,Feeding,BSQ
94,176,Feeding,BSQ
119,176,Feeding,BSQ
121,176,Feeding,BSQ
136,176,Feeding,BSQ
138,176,Feeding,BSQ
24,178,Feeding,BSQ
25,178,Feeding,BSQ
26,178,Feeding,BSQ
29,178,Feeding,BSQ
34,178,Feeding,BSQ
35,178,Feeding,BSQ
36,178,Feeding,BSQ
37,178,Feeding,BSQ
38,178,Feeding,BSQ
39,178,Feeding,BSQ
40,178,Feeding,BSQ
41,178,Feeding,BSQ
42,178,Feeding,BSQ
43,178,Feeding,BSQ
45,178,Feeding,BSQ
53,178,Feeding,BSQ
77,178,Feeding,BSQ
79,178,Feeding,BSQ
88,178,Feeding,BSQ
91,178,Feeding,BSQ
94,178,Feeding,BSQ
96,178,Feeding,BSQ
97,178,Feeding,BSQ
98,178,Feeding,BSQ
100,178,Feeding,BSQ
101,178,Feeding,BSQ
103,178,Feeding,BSQ
105,178,Feeding,BSQ
107,178,Feeding,BSQ
109,178,Feeding,BSQ
94,178,Feeding,BSQ
94,178,Feeding,BSQ
121,178,Feeding,BSQ
4,179,Feeding,BSQ
7,179,Feeding,BSQ
8,179,Feeding,BSQ
10,179,Feeding,BSQ
11,179,Feeding,BSQ
14,179,Feeding,BSQ
15,179,Feeding,BSQ
16,179,Feeding,BSQ
17,179,Feeding,BSQ
18,179,Feeding,BSQ
19,179,Feeding,BSQ
20,179,Feeding,BSQ
48,179,Feeding,BSQ
75,179,Feeding,BSQ
91,179,Feeding,BSQ
96,179,Feeding,BSQ
97,179,Feeding,BSQ
98,179,Feeding,BSQ
101,179,Feeding,BSQ
105,179,Feeding,BSQ
107,179,Feeding,BSQ
86,179,Feeding,BSQ
90,179,Feeding,BSQ
94,179,Feeding,BSQ
94,179,Feeding,BSQ
24,181,Feeding,BSQ
25,181,Feeding,BSQ
26,181,Feeding,BSQ
29,181,Feeding,BSQ
34,181,Feeding,BSQ
35,181,Feeding,BSQ
36,181,Feeding,BSQ
37,181,Feeding,BSQ
38,181,Feeding,BSQ
39,181,Feeding,BSQ
40,181,Feeding,BSQ
41,181,Feeding,BSQ
42,181,Feeding,BSQ
43,181,Feeding,BSQ
45,181,Feeding,BSQ
53,181,Feeding,BSQ
82,181,Feeding,BSQ
88,181,Feeding,BSQ
89,181,Feeding,BSQ
91,181,Feeding,BSQ
96,181,Feeding,BSQ
97,181,Feeding,BSQ
98,181,Feeding,BSQ
101,181,Feeding,BSQ
103,181,Feeding,BSQ
105,181,Feeding,BSQ
107,181,Feeding,BSQ
108,181,Feeding,BSQ
109,181,Feeding,BSQ
114,181,Feeding,BSQ
119,181,Feeding,BSQ
136,181,Feeding,BSQ
138,181,Feeding,BSQ
4,185,Feeding,BSQ
7,185,Feeding,BSQ
8,185,Feeding,BSQ
10,185,Feeding,BSQ
11,185,Feeding,BSQ
14,185,Feeding,BSQ
15,185,Feeding,BSQ
16,185,Feeding,BSQ
17,185,Feeding,BSQ
18,185,Feeding,BSQ
19,185,Feeding,BSQ
20,185,Feeding,BSQ
48,185,Feeding,BSQ
75,185,Feeding,BSQ
91,185,Feeding,BSQ
96,185,Feeding,BSQ
97,185,Feeding,BSQ
98,185,Feeding,BSQ
101,185,Feeding,BSQ
105,185,Feeding,BSQ
107,185,Feeding,BSQ
86,185,Feeding,BSQ
90,185,Feeding,BSQ
94,185,Feeding,BSQ
94,185,Feeding,BSQ
118,186,Feeding,BSQ
121,186,Feeding,BSQ
122,186,Feeding,BSQ
125,186,Feeding,BSQ
128,186,Feeding,BSQ
91,187,Feeding,BSQ
96,187,Feeding,BSQ
97,187,Feeding,BSQ
98,187,Feeding,BSQ
101,187,Feeding,BSQ
105,187,Feeding,BSQ
107,187,Feeding,BSQ
114,187,Feeding,BSQ
118,187,Feeding,BSQ
119,187,Feeding,BSQ
121,187,Feeding,BSQ
122,187,Feeding,BSQ
125,187,Feeding,BSQ
136,187,Feeding,BSQ
138,187,Feeding,BSQ
88,188,Feeding,BSQ
94,188,Feeding,BSQ
109,188,Feeding,BSQ
66,189,Feeding,BSQ
114,189,Feeding,BSQ
118,189,Feeding,BSQ
118,190,Feeding,BSQ
119,190,Feeding,BSQ
121,190,Feeding,BSQ
122,190,Feeding,BSQ
125,190,Feeding,BSQ
128,190,Feeding,BSQ
136,190,Feeding,BSQ
138,190,Feeding,BSQ
114,191,Feeding,BSQ
118,191,Feeding,BSQ
119,191,Feeding,BSQ
121,191,Feeding,BSQ
122,191,Feeding,BSQ
125,191,Feeding,BSQ
136,191,Feeding,BSQ
138,191,Feeding,BSQ
24,192,Feeding,BSQ
25,192,Feeding,BSQ
26,192,Feeding,BSQ
29,192,Feeding,BSQ
34,192,Feeding,BSQ
35,192,Feeding,BSQ
36,192,Feeding,BSQ
37,192,Feeding,BSQ
38,192,Feeding,BSQ
39,192,Feeding,BSQ
40,192,Feeding,BSQ
41,192,Feeding,BSQ
42,192,Feeding,BSQ
43,192,Feeding,BSQ
45,192,Feeding,BSQ
53,192,Feeding,BSQ
77,192,Feeding,BSQ
79,192,Feeding,BSQ
88,192,Feeding,BSQ
89,192,Feeding,BSQ
91,192,Feeding,BSQ
96,192,Feeding,BSQ
97,192,Feeding,BSQ
98,192,Feeding,BSQ
101,192,Feeding,BSQ
105,192,Feeding,BSQ
107,192,Feeding,BSQ
108,192,Feeding,BSQ
109,192,Feeding,BSQ
